best_bid,best_ask,mid_price,spread,total_bid_size,total_ask_size,depth_bid,depth_ask,volume,n_trades,time
99.99879001863145,100.00115438629336,99.9999722024624,0.002364367661911615,1292,1270,500,499,2,2,0.0
100.0,100.04,100.02000000000001,0.04000000000000625,1310,1266,506,491,333,209,30.000000000000156
100.02,100.05094707865727,100.03547353932863,0.030947078657277416,1344,1205,525,473,344,197,60.00000000000058
100.02,100.05,100.035,0.030000000000001137,1348,1174,527,463,331,208,90.09999999999916
100.07000000000001,100.09,100.08000000000001,0.01999999999999602,1400,1050,550,423,343,227,120.09999999999745
100.08,100.10000000000001,100.09,0.020000000000010232,1430,1032,562,413,359,225,150.09999999999576
100.10000000000001,100.12,100.11000000000001,0.01999999999999602,1503,971,590,392,356,213,180.09999999999405
100.14,100.14767951267204,100.14383975633602,0.007679512672041255,1569,879,609,355,373,239,210.09999999999235
100.13,100.16,100.145,0.030000000000001137,1648,847,633,339,351,222,240.09999999999064
100.17,100.19,100.18,0.01999999999999602,1691,786,647,312,364,218,270.0999999999929
100.2,100.22,100.21000000000001,0.01999999999999602,1745,692,664,278,387,234,300.09999999999974
100.18,100.23,100.20500000000001,0.04999999999999716,1742,676,666,275,335,210,330.00000000000654
100.22,100.23,100.225,0.010000000000005116,1806,637,688,245,339,214,360.00000000001336
100.2,100.21000000000001,100.20500000000001,0.010000000000005116,1831,652,696,249,325,203,390.0000000000202
100.24000000000001,100.27,100.255,0.029999999999986926,1904,568,727,217,329,216,420.000000000027
100.26,100.29,100.275,0.030000000000001137,1924,505,742,193,358,225,450.0000000000338
100.3,100.31541612018236,100.30770806009119,0.01541612018236549,1958,408,756,163,398,251,480.00000000004064
100.33,100.35000000000001,100.34,0.020000000000010232,2018,352,778,136,381,225,510.00000000004746
100.31,100.34,100.325,0.030000000000001137,2059,355,789,139,353,213,540.0000000000542
100.32000000000001,100.37,100.345,0.04999999999999716,2117,367,813,138,346,208,570.000000000061
100.34,100.39,100.36500000000001,0.04999999999999716,2180,311,830,123,361,223,600.0000000000679
100.39,100.42,100.405,0.030000000000001137,2235,224,851,91,383,237,630.0000000000747
100.41,100.44399441430278,100.42699720715139,0.03399441430278216,2247,219,860,84,341,210,660.0000000000815
100.41,100.45,100.43,0.04000000000000625,2222,225,847,87,332,213,690.0000000000883
100.46000000000001,100.48,100.47,0.01999999999999602,2273,145,865,51,360,236,720.0000000000952
100.44,100.49170853799646,100.46585426899823,0.051708537996461246,2300,111,876,42,374,228,750.000000000102
100.51,100.52,100.515,0.009999999999990905,2432,64,926,27,309,201,780.0000000001088
100.65,100.69,100.67,0.03999999999999204,2512,59,959,27,299,185,810.0000000001156
100.78,100.85000000000001,100.815,0.07000000000000739,2564,87,987,34,310,184,840.0000000001224
100.85000000000001,100.88,100.86500000000001,0.029999999999986926,2637,50,1020,21,337,206,870.0000000001293
100.91,100.94,100.925,0.030000000000001137,2675,44,1037,17,314,204,900.0000000001361
101.61,,,,2802,0,1086,0,309,183,930.0000000001429
102.19,,,,2795,0,1090,0,184,119,960.0000000001497
102.74000000000001,,,,2847,0,1103,0,164,110,990.0000000001565
104.29,,,,2910,0,1126,0,168,106,1020.0000000001634
104.38,,,,2922,0,1129,0,164,105,1050.0000000001405
104.52,,,,2918,0,1129,0,229,139,1080.0000000001132
104.81,,,,2969,0,1152,0,167,107,1110.000000000086
105.13,,,,3042,0,1170,0,181,115,1140.0000000000587
105.16,,,,3057,0,1179,0,200,123,1170.0000000000314
105.45,,,,3132,0,1216,0,130,84,1200.000000000004
105.86,,,,3178,0,1233,0,197,119,1230.0999999999767
105.95,,,,3191,0,1243,0,199,125,1260.0999999999494
106.23,,,,3234,0,1259,0,157,98,1290.0999999999221
106.75,,,,3318,0,1286,0,148,89,1320.0999999998949
106.75,,,,3295,0,1281,0,197,122,1350.0999999998676
106.96000000000001,,,,3350,0,1299,0,153,98,1380.0999999998403
108.59,,,,3415,0,1324,0,179,109,1410.099999999813
107.47,,,,3439,0,1331,0,206,118,1440.0999999997857
107.77,,,,3529,0,1368,0,169,99,1470.0999999997584
107.75,,,,3490,0,1360,0,229,141,1500.0999999997312
108.52,,,,3503,0,1371,0,160,99,1530.0999999997039
108.83,,,,3529,0,1387,0,167,104,1560.0999999996766
109.27,,,,3540,0,1389,0,191,119,1590.0999999996493
109.5,,,,3602,0,1409,0,165,105,1620.099999999622
110.54,,,,3642,0,1429,0,150,96,1650.0999999995947
110.74000000000001,,,,3709,0,1453,0,187,108,1680.0999999995674
110.98,,,,3749,0,1470,0,207,122,1710.0999999995402
111.81,,,,3792,0,1486,0,178,110,1740.0999999995129
112.23,,,,3907,0,1537,0,188,105,1770.0999999994856
112.38,,,,3947,0,1550,0,213,124,1800.0999999994583
112.74000000000001,,,,3985,0,1570,0,174,113,1830.099999999431
112.49000000000001,,,,3953,0,1554,0,215,139,1860.0999999994037
112.53,,,,3963,0,1560,0,186,106,1890.0999999993765
112.86,,,,4023,0,1582,0,171,108,1920.0999999993492
113.18,,,,4107,0,1617,0,167,95,1950.0999999993219
113.2,,,,4143,0,1621,0,220,121,1980.0999999992946
113.32000000000001,,,,4170,0,1631,0,211,123,2010.0999999992673
113.33,,,,4177,0,1632,0,163,104,2040.09999999924
113.35000000000001,,,,4164,0,1630,0,206,132,2070.0999999992127
113.59,,,,4198,0,1644,0,173,105,2100.0999999991855
114.5,,,,4250,0,1670,0,172,109,2130.099999999158
114.55,,,,4279,0,1675,0,185,119,2160.099999999131
114.73,,,,4308,0,1689,0,183,117,2190.0999999991036
114.59,,,,4274,0,1678,0,218,138,2220.0999999990763
116.08,,,,4334,0,1705,0,159,94,2250.099999999049
117.24000000000001,,,,4341,0,1701,0,191,125,2280.0999999990217
117.96000000000001,,,,4340,0,1708,0,180,116,2310.0999999989945
117.72,,,,4441,0,1739,0,180,106,2340.099999998967
118.03,,,,4502,0,1764,0,158,96,2370.09999999894
118.37,,,,4541,0,1769,0,208,124,2400.0999999989126
118.47,,,,4534,0,1766,0,223,131,2430.0999999988853
118.74000000000001,,,,4602,0,1798,0,182,107,2460.099999998858
119.49000000000001,,,,4688,0,1824,0,136,82,2490.0999999988308
119.56,,,,4682,0,1822,0,207,122,2520.0999999988035
119.78,,,,4754,0,1849,0,157,96,2550.099999998776
119.82000000000001,,,,4762,0,1847,0,186,111,2580.099999998749
119.95,,,,4814,0,1866,0,236,138,2610.0999999987216
120.98,,,,4892,0,1892,0,174,115,2640.0999999986943
121.42,,,,4892,0,1896,0,225,137,2670.099999998667
