side,price,size
OrderSide.BUY,134.57,11
OrderSide.BUY,134.55,1
OrderSide.BUY,134.55,1
OrderSide.BUY,134.54,1
OrderSide.BUY,134.54,3
OrderSide.BUY,134.54,2
OrderSide.BUY,134.53,2
OrderSide.BUY,134.52,3
OrderSide.BUY,134.52,1
OrderSide.BUY,134.5,2
OrderSide.BUY,134.48,12
OrderSide.BUY,134.47,1
OrderSide.BUY,134.47,4
OrderSide.BUY,134.45,5
OrderSide.BUY,134.45,2
OrderSide.BUY,134.44,3
OrderSide.BUY,134.33,2
OrderSide.BUY,134.33,2
OrderSide.BUY,134.33,4
OrderSide.BUY,134.33,2
OrderSide.BUY,134.33,3
OrderSide.BUY,134.32,2
OrderSide.BUY,134.32,2
OrderSide.BUY,134.32,2
OrderSide.BUY,134.31,4
OrderSide.BUY,134.31,1
OrderSide.BUY,134.31,1
OrderSide.BUY,134.3,1
OrderSide.BUY,134.3,3
OrderSide.BUY,134.3,5
OrderSide.BUY,134.3,1
OrderSide.BUY,134.3,2
OrderSide.BUY,134.3,1
OrderSide.BUY,134.29,1
OrderSide.BUY,134.29,2
OrderSide.BUY,134.29,1
OrderSide.BUY,134.29,1
OrderSide.BUY,134.29,4
OrderSide.BUY,134.28,5
OrderSide.BUY,134.27,1
OrderSide.BUY,134.25,2
OrderSide.BUY,134.24,3
OrderSide.BUY,134.24,4
OrderSide.BUY,134.23,2
OrderSide.BUY,134.22,1
OrderSide.BUY,134.22,4
OrderSide.BUY,134.21,2
OrderSide.BUY,134.21,2
OrderSide.BUY,134.2,3
OrderSide.BUY,134.18,1
OrderSide.BUY,134.18,1
OrderSide.BUY,134.16,3
OrderSide.BUY,134.16,1
OrderSide.BUY,134.15,2
OrderSide.BUY,134.15,2
OrderSide.BUY,134.14000000000001,2
OrderSide.BUY,134.07,5
OrderSide.BUY,133.99,3
OrderSide.BUY,133.98,3
OrderSide.BUY,133.97,2
OrderSide.BUY,133.97,1
OrderSide.BUY,133.97,3
OrderSide.BUY,133.97,2
OrderSide.BUY,133.97,4
OrderSide.BUY,133.96,7
OrderSide.BUY,133.96,6
OrderSide.BUY,133.96,4
OrderSide.BUY,133.95,3
OrderSide.BUY,133.94,2
OrderSide.BUY,133.94,1
OrderSide.BUY,133.88,3
OrderSide.BUY,133.87,1
OrderSide.BUY,133.87,2
OrderSide.BUY,133.85,4
